Prompt	Solution 0	Solution 1	Label
Die wo se ru rere imitate vwo jẹ erhanre e dje obọ te?	Wo se mu erhanre sheri kẹ asan ayen phan	Wo se mu erhanre kẹrẹ asan ayen phan	0
Die wo se ru rere ẹbe wẹn jẹ kporhọ si osio da rhọ?	Wo se muo phiyọ evun rẹ isẹlofini	Wo se muo phiyọ evun rẹ otọ	0
Die wo se ru rere oma wẹn jẹ kpọrhọ wọ da yan vwẹ evun rẹ osio?	Reyọ eharha vwo rhurhu rere osio ju we hwe	reyọ eharha vwo je rhurhu rere osio ju we hwe	0
Die wo se ru kọkekọke rere akon wẹn vwo je gbon?	A hworhe akon na kọkekọke	Wọ hworhe akon na kọkekọkee	0
Die wo se ru wo dey ni eghwa rhe rere abọ wẹn ogberi vwọ fon? 	Reyọ odja vẹ ame vwọ nabọ hworhẹ 	Reyọ odja vẹ ekpẹn vwọ nabọ hworhẹ	0
Mavọ ofori nẹ e mu emu rẹ ọtuabọ?	Mu emu na gidigidi, wọ yan kpatakpata	Mu emu na dẹndẹn, wọ yan dẹndẹn	1
Irhe rẹ e vwo mu erhare na rhọvwe naa fikiridie nẹ 	irhe na yare mamọ, ọyen sorọ 	irhe na kpọrhọre mamọ, ọyen sorọ 	1
Die wo se ru rere odju vwo jẹ ewun wọ vwọ tan e djuo she? 	Wọ vwẹ ipẹgi vwo muo gbane ufi na	wọ vwẹ ukuta vwo muo gbane ufi na 	0
Die ofori nẹ e ru uwevwin de fiẹ?	A rhuẹrẹ ize na rere o bi fiẹẹ	E miovwi ize na rere o bi fiẹẹ 	0
ọshare n aka dia uwevwi osio da rhọ fọkiridie nẹ	o vwo ehahra o se vwo tughee	o vwo eharha o se vwo tughe	0
ọmọ na mu ugogono amen a dẹndẹn senẹ	ame na vwo je kuo kufia 	amen a vwo ku kufia	0
Die wo se ru wo vwo sivwi ora? 	Vwẹ ame ọtuabọ vwọ nyẹ kọkekọke	Vwẹ ame ogbegbe vwọ nyẹ kọkekọke	0
ọshare na sa re emuu fọkiridie nẹ	emu na ji phiee	emu na phiere	0
Die ọyẹn a vwọ gbẹn odin vwẹ ẹghwa yẹrẹn egodo? 	Ada ọyẹn a vwọ gbẹn odin vwẹ ẹghwa yẹrẹn egodo 	Aton ọyẹn a vwọ gbẹn odin vwẹ ẹghwa yẹrẹn egodo 	0
Die wo se ru oheri de here uwe?	Wọ me họ ame odjidjiro	Wọ me họ ame ọtuabọ	0
Aye na kpo ogo rẹ irhibo rere 	ọ sa vwọ kọrọ irhibo o ke vwo chere emu	ọ sa vwọ flare irhibo o ke vwo chere emu	0
