Prompts	Solution0	Solution1	Label
Nọ whọ tẹ guọlọ le evra nọ udhu ra, eme ufou nọ who re ruẹ?	Orọsosuọ, who re ko ibire ithethei rọ wariẹ udhu na họ, who ve thuhu iwu anwae họ ibire na, nọ u te no ọhena no, kokekoke nọ evra e tẹ ra ze who ve bo unu ayo whọ vẹ tehe abọ, ofariẹ, who re he riwi udhu na kẹsekẹse re who ro le ae thetheabọ, wọ rẹ sẹro ekakọ nọ bẹ oke ivuẹvu.	Orọsosuọ, who bru imalẹ ithethei rọ wariẹ udhu na họ, who ve thuhu iwu anwae họ ibire na, nọ u te no ọhena no, kokekoke nọ evra e tẹ ra ze who ve bo unu ayo whọ vẹ tehe abọ, ofariẹ, who re he riwi udhu na kẹsekẹse re who ro le ae thetheabọ, wọ rẹ sẹro ekakọ nọ bẹ oke ivuẹvu.	0
ẹvẹ whọ rẹ rọ kọrọ eka?	Whọ rẹ wọ ekete kpohọ obọ udhu na, who ve wiri ugbe eka eyaya na, nọ u te no ọhena no, whọ vẹ viẹ ehọ na no ẹrera, ofariẹ, who ve fi eka na họ ekete na, whọ vẹ wọ ekete na kpohọ obọuwou.	Whọ rẹ wọ ekete kpohọ obọ udhu na, who ve wiri ugbe eka eyaya na, nọ u te no ọhena no, whọ vẹ viẹ ehọ na no ẹrera, ofariẹ, who ve fi isukulu na họ ekete na, whọ vẹ wọ ekete na kpohọ obọuwou.	0
Nọ whọ tẹ guọlọ gbẹbe họ udhu ra…	Whọ rẹ thọ ọpia ra who te ti muhọ, whọ vẹ nyahe ebe na kẹle awọ rae, who ve koko ebe na họ ekru, ọfariẹ, who ve tu era hae ayo whọ vẹ wọ ae kufiẹ, whọ vẹ nya sie ẹwọ na ba fuafo.	Whọ rẹ thọ ọpia ra who te ti muhọ, whọ vẹ nyahe ebe na kẹle awọ rae, who ve koko ebe na họ ekru, ọfariẹ, who ve tu era hae ayo whọ vẹ wọ ae kufiẹ, whọ vẹ nya sie ẹwọ na ba gbegbe.	0
ẹvẹ who re ro koko igu họ kẹ ẹkọ?	Who re bru igbe ẹgu na ẹrẹrẹ, who ve kporo egọdọ esese họ otọ na, whọ vẹ rehọ igbe ẹgu na kiẹzẹ egọdọ na, ọfariẹ, whọ vẹ rehọ ẹkpẹ ruru ae, whọ vẹ hẹrẹ re isou na e rọ ku ae.	Who re bru igbe ẹgu na ẹrẹrẹ, who ve kporo egọdọ esese họ otọ na, whọ vẹ rehọ igbe ẹgu na kiẹzẹ igogolo na, ọfariẹ, whọ vẹ rehọ ẹkpẹ ruru ae, whọ vẹ hẹrẹ re isou na e rọ ku ae.	0
Eme họ iruẹru nọ who re ruẹ no whọ tẹ guọlọ tọ egọdọ nọ a rẹ rọ kọ egwọ?	Whọ rẹ gbẹ ebe nọ otọ na no, whọ vẹ rehọ ẹwhẹ ra ro kporo erẹ ithethei, who ve ru egọdọ e sese họ eva erẹ na, who ve fi ibi ewhọ na eva riẹ whọ vẹ rehọ ẹkpẹ ro ruru ae omojọ.	Whọ rẹ gbẹ ebe nọ otọ na no, whọ vẹ rehọ ẹwhẹ ra ro kporo erẹ ithethei, who ve ru egọdọ e sese họ eva erẹ na, who ve fi ibi iti na eva riẹ whọ vẹ rehọ ẹkpẹ ro ruru ae omojọ.	0
ẹvẹ who re ro vu epapa?	Orọsosuọ, who re vu epapa na nọ ota na, who ve nyuhu ẹkpẹ nọ awọ rae no, who ve fi ae họ uvou, ofariẹ, who ve he ku ae riẹriẹ nọ oke te oke, orọurere who ve fi ae họ ẹkpa nọ e tẹ ya no.	Orọsosuọ, who re vu epapa na nọ ame na, who ve nyuhu ẹkpẹ nọ awọ rae no, who ve fi ae họ uvou, ofariẹ, who ve he ku ae riẹriẹ nọ oke te oke, orọurere who ve fi ae họ ẹkpa nọ e tẹ ya no.	0
Nọ whọ tẹ guọlọ sẹro elẹ nọ who te vu ae no…	Whọ rẹ tọ ebọ idhedhẹ họ emu uwou ra, whọ vẹ ruẹre ilẹ na hiẹ ziezi, nọ u te no ohena na no, whọ vẹ rehọ eha ruru ae, whọ vẹ họ kiẹ kẹsekẹse fiki ọ iyoma, orurere, whọ vẹ sẹro ilẹ na te ezi ekakọ nọtha.	Whọ rẹ tọ ebọ idhedhẹ họ emu idhe ra, whọ vẹ ruẹre ilẹ na hiẹ ziezi, nọ u te no ohena na no, whọ vẹ rehọ eha ruru ae, whọ vẹ họ kiẹ kẹsekẹse fiki ọ iyoma, orurere, whọ vẹ sẹro ilẹ na te ezi ekakọ nọtha.	0
Oha nọ o ta nọ ‘ikako ẹrooke u re siwi izi’ eme họ otofa riẹ?	Otofa riẹ họ, whọ tẹ kiẹ oja ọsese eva ẹrooke, u re zihie ro ulogbo ho, wọhọ nu who te ko ẹbere osese nọ ọrọ ewhu ra, ọ re wha hiẹ ughogho ulogbo uzihie ruọ ẹsiẹfa.	Otofa riẹ họ, whọ tẹ jẹ oja ọsese fiẹ eva ẹrooke, u re zihie ro ulogbo ho, wọhọ nu who te ko ẹbere osese nọ ọrọ ewhu ra, ọ re wha hiẹ ughogho ulogbo uzihie ruọ ẹsiẹfa.	0
Eme họ otofa ọ nana ‘ru ihe nọ uvou u bi lo’?	Otofa riẹ họ, who ru iruo eva ẹrooke, wọhọ nọ ọwhẹrẹ o vuhu ẹbe riẹ nọ uvou o gbẹ rọ, ayo ọmọ ewhurẹ o se ebe riẹ nọ ikpẹ e rọ.	Otofa riẹ họ, who ru iruo eva ẹrooke, wọhọ nọ ọwhẹrẹ o vuhu ẹbe riẹ nọ osou ọ be rọ, ayo ọmọ ewhurẹ o se ebe riẹ nọ ikpẹ e rọ.	0
ẹvẹ ma re ro wo otoriẹ ẹme nọ a ta nọ, ‘ubro ibrẹdi u woma vi igheghe’	otofariẹ họ uwoma re whọ rọwo erere ọsese vi ukpenọ whọ rẹ se ẹe whọ vẹ jọ ababọ, wọhọ nọ whọ tẹ rehọ emu ọsese u woma vi ohọ nọ u rhe kpe ohwẹ.	otofariẹ họ uwoma re whọ rọwo erere ọsese vi ukpenọ whọ rẹ se ẹe whọ vẹ jọ ababọ, wọhọ nọ whọ tẹ rehọ owezẹ osese u woma vi ohọ nọ u rhe kpe ohwẹ.	0
Fa otọ oha na ‘who du kele ekoko ra re a tẹte sa ha’	Otofa riẹ họ, who du fi eva họ eware nọ e rete via ha, wọhọ whọ du re ugho nọ who ri ti woho ho.	Otofa riẹ họ, who fi eva họ eware nọ e rete via ha, wọhọ whọ du re ugho nọ who ri ti woho ho.	0
Eme họ otofa ọ nana ‘ nọ ini ivẹ a tẹ họrọ, uye o re bẹ ẹbe’?	Otofa riẹ họ, nọ ahwo ivẹ nọ a wọ ẹgba a tẹ whọ, eyẹlẹ nọ e rọ akotọ rae uye orẹ mae bẹ.	Otofa riẹ họ, nọ ahwo ivẹ nọ a wọ ẹgba a tẹ whọ, uye o rẹ bẹ eyẹlẹ nọ erọ akotọ rae hi.	0
ọvra ọvo nọ ọrọ obọ, o wọhọ ivẹ nọ erọ obọ odi’ eme ohena u dikihiẹ kẹ?	Otofa riẹ họ, oware nọ who wo nọ, o ghare vi o nọ who bi rẹro kpahe.	Otofa riẹ họ, oware nọ who bi rẹro kpahe u woma vi o nọ who wo no.	0
Igogolo ifofe e rẹ mae ru edo’ eme họ otofa riẹ?	otofariẹ họ, ahwo nọ a riẹ umotho oware uthẹsejọ a rẹ mae se eha jẹ ta ẹme burọ.	otofariẹ họ, ahwo nọ a riẹ ga rọ uthẹsejọ a rẹ mae se eha jẹ ta ẹme burọ.	0
kẹ otofa itẹ na ‘a bọ iromu ẹdẹ ọvo ho’	otofariẹ họ, ikpeware e rẹ rehọ oke avọ odiri re a teti wo ae, wọhọ, whọ rẹ sae whurẹ iruo obọ ẹdẹ ọvo ho.	otofariẹ họ, ikpeware e rẹ rehọ emu avọ idi re a teti wo ae, wọhọ, whọ rẹ sae whurẹ iruo obọ ẹdẹ ọvo ho.	0
Didi orẹ o rọ ẹme na ‘ whọ rẹ sae re ikeki ra re who woi hi’?	Otofa riẹ họ, whọ rẹ sae raha oware no je woi hi, wọhọ, whọ tẹ re ikeki ra, who gbe woi hi.	Otofa riẹ họ, whọ rẹ sae raha oware no je woi hi, wọhọ, whọ tẹ re ikeki ra, who gbe woi.	0
ẹvẹ ma rẹ rọ rehọ oha na ru iruo ‘evra nọ e kake nyaze a re mu edha’?	Otofa riẹ họ, ahwo nọ a mu irou rae họ eva ẹrooke, a wo emamọ uvẹ nọ a rẹ rọ nyaharo, wọhọ ọmọ ewhurẹ nọ o se ebe riẹ eva ẹrooke, ọ rẹ riẹ ru eva ẹdawọ.	Otofa riẹ họ, ahwo nọ a mu irou rae họ eva ẹrooke, a wo emamọ uvẹ nọ a rẹ rọ nyaharo ho, wọhọ ọmọ ewhurẹ nọ o se ebe riẹ eva ẹrooke, ọ rẹ riẹ ru eva ẹdawọ hẹ.	0
Oke nọ Ọghẹnẹ ọ vuẹ Abrahamu nọ ọ re họ ọmọzae riẹ Aiziki ro dheidhe eme Abraham o ru?	Abrahamu o yo ẹme Ọghẹnẹ ọ tẹ ruẹrẹ omakpahe re ọ rehọ Aiziki ro dhidhe eva obọ ugheru na, o te koko ire họ, ọ tẹ vi agbada-idhe je fi ọmọzae riẹ eru riẹ, opanọ ọ rẹ kpare aghae na, okọ-Ọnowo na ọ tẹ wha hiẹ, ọ tẹ ruẹ egbo nọ izei riẹ eyagha họ etuetue. Abraham o te se odẹ oria na ‘Ọnowo na ọ rẹ kẹ’	Abrahamu o yo ẹme Ọghẹnẹ hẹ, ọ tẹ ruẹrẹ omakpahe re ọ rehọ Aiziki ro dhidhe eva obọ ugheru na, o te koko ire họ, ọ tẹ vi agbada-idhe je fi ọmọzae riẹ eru riẹ, opanọ ọ rẹ kpare aghae na, okọ-Ọnowo na ọ tẹ wha hiẹ, ọ tẹ ruẹ egbo nọ izei riẹ eyagha họ etuetue. Abraham o te se odẹ oria na ‘Ọnowo na ọ rẹ kẹ’	0
Eva iku Idevidi avọ Igoliate ẹvẹ Idevidi ọ rọ kpare obọ vi Igoliate?	Idevidi ọ tọlọ ubi-utho nọ ẹkpa riẹ ze o te fie họ eva udeme, u te kie họ aroezo Igoliate, Ọgbaemo na o te kie họ otọ, Idevidi ọ tẹ rehọ ọgbọdọ Igoliate ro bru uzou riẹ no.	Imosisi ọ tọlọ ubi-utho nọ ẹkpa riẹ ze o te fie họ eva udeme, u te kie họ aroezo Igoliate, Ọgbaemo na o te kie họ otọ, Idevidi ọ tẹ rehọ ọgbọdọ Igoliate ro bru uzou riẹ no.	0
Eme ọvia nọ a gbele Edaniẹle họ evaọ ọgọdọ ikpohrokpo?	A gbele Edaniẹle họ evaọ ọgọdọ ikpohrokpo, rekọ Ọghẹnẹ o te vi injẹle riẹ, a te wuhu enu ikpohrokpo na evaọ aso nọ kpobi a gbẹ nwa ei oma ha, evaọ ohiohiẹ ovie na ọ tẹ ghọghọ je jiri Ọghẹnẹ Edaniẹle.	A gbele Edaniẹle họ evaọ ọgọdọ ikpohrokpo, rekọ Ọghẹnẹ o te vi aye jọ, a te wuhu enu ikpohrokpo na evaọ aso nọ kpobi a gbẹ nwa ei oma ha, evaọ ohiohiẹ ovie na ọ tẹ ghọghọ je jiri Ọghẹnẹ Edaniẹle.	0
Fikieme Ijona ọ rọ jọ evaọ eri ologbo?	Ijona ọ dhẹ se Ọnowo na ba kpobọ Etashishi, ẹkporo ologbo ọ tẹ jọ, enọ iwou uzou okọ na a te gbele ei họ abade na, eri ologbo ọ tẹ lọ ei, ọ tẹ jọ etẹ edẹ-esa gbe eso-esa.	Ijona ọ dhẹ se Ọnowo na ba kpobọ Ininẹve, ẹkporo ologbo ọ tẹ jọ, enọ iwou uzou okọ na a te gbele ei họ abade na, eri ologbo ọ tẹ lọ ei, ọ tẹ jọ etẹ edẹ-esa gbe eso-esa.	0
Eme Ijesu ọ rehọ ikulu isoi avọ imiyei ivẹ ru?	Ijesu ọ rehọ ikulu isou avọ imiyei ivẹ, ọ tẹ kẹ uyere, ọ tẹ bẹre ae, ọ tẹ ru otu obuobu na nọ ejọ ezae idu isoi eva vọ, yọ eyae gbe emọ etẹ jariẹ, kẹsena, a tẹ rehọ ibro nọ ikiọkọ koko ikete ikpegbivẹ họ.	Ijesu ọ rehọ ikulu isou avọ imiyei ivẹ, ọ tẹ kẹ uyere, ọ tẹ bẹre ae, ọ tẹ ru otu obuobu na nọ ejọ ezae ikpe eva vọ, yọ eyae gbe emọ etẹ jariẹ, kẹsena, a tẹ rehọ ibro nọ ikiọkọ koko ikete ikpegbivẹ họ.	0
Eme ọ via kẹ Epọlo avọ Esailase nọ a lẹ evaọ uwou-odi?	Evaọ udevie-aso, a tẹ lẹ jẹ so ile ujiro kẹ Ọghẹnẹ, idudhe na otọ u te nuhu ruaro, ethẹ uwou-odi na ite rovie fihọ, eba rae e tẹ fere ino, jọ ute gbe oriekarọ na unu.	Evaọ udevie-aso, a tẹ lẹ jẹ so ile ujiro kẹ Ọghẹnẹ, idudhe na oso ologbo ọ tẹ rọ, ethẹ uwou-odi na ite rovie fihọ, eba rae e tẹ fere ino, jọ ute gbe oriekarọ na unu.	0
Ono ọ zẹ Ijesu kẹ olori izerẹ na ọgba ẹwẹe idọlọ efuafo?	Ijudas iskariọto omọvo ilele igbegbivẹ na, ọhe ọ lẹlẹ nya bru olori izerẹ na ọ tẹ rọwo nọ o re kẹe Ijesu, ẹsiẹfa, ọ tẹ rehọ oviọlọ unu ro vivi ei.	Ijudas iskariọto omọvo ilele igbegbivẹ na, ọhe ọ lẹlẹ nya bru olori izerẹ na ọ tẹ rọwo nọ o re kẹe Ijesu, ẹsiẹfa, ọ tẹ rehọ ole ro vivi ei.	0
Eme ọvia nọ a họ Ijesu ame no evaọ ethẹ Jọdan?	Oke nọ Ijesu ọ va nọ ame na ze, Ẹzi-Ọghẹnẹ o te whou otọ ze wọhọ eruerue, uru jọ u te nọ eru ze ta nọ, ‘ọnana họ Ọmọ oyoyou mẹ, ọnọ ọ were omẹ rọ’. oka na ute gbe ahwo na enu.	Oke nọ Esamuẹle ọ va nọ ame na ze, Ẹzi-Ọghẹnẹ o te whou otọ ze wọhọ eruerue, uru jọ u te nọ eru ze ta nọ, ‘ọnana họ Ọmọ oyoyou mẹ, ọnọ ọ were omẹ rọ’. oka na ute gbe ahwo na enu.	0
ẹvẹ igbẹhẹ Ejẹriko I ro kie họ otọ?	Ahwo izrẹle a nya okpẹwho na wariẹ edẹ ihrẹ, evaọ ẹdẹ avọ ihrẹ na, a tẹ koyẹ je kporo enware na, igbẹhẹ na I te kie fihọ otọ gbrarara, ere a tẹ rehọ orewho na.	Ahwo izrẹle a nya okpẹwho na wariẹ edẹ ezeza, evaọ ẹdẹ avọ ezeza na, a tẹ koyẹ je kporo enware na, igbẹhẹ na I te kie fihọ otọ gbrarara, ere a tẹ rehọ orewho na.	0
ẹvẹ igbẹhẹ Ejẹriko I ro kie họ otọ?	Ahwo izrẹle a nya okpẹwho na wariẹ edẹ ihrẹ, evaọ ẹdẹ avọ ihrẹ na, a tẹ koyẹ je kporo enware na, igbẹhẹ na I te kie fihọ otọ gbrarara, ere a tẹ rehọ orewho na.	Ahwo izrẹle a nya okpẹwho na wariẹ edẹ ezeza, evaọ ẹdẹ avọ ezeza na, a tẹ koyẹ je kporo enware na, igbẹhẹ na I te kie fihọ otọ gbrarara, ere a tẹ rehọ orewho na.	0
Ono ọ vro Ijesu isiasa bẹsenọ ọkpa na o ti bo?	Ipata nọ o lele Ijesu evaọ ugbo. Nọ a nọe ọ te vro isiasa nọ ọ riẹ riẹ hẹ, wha nọ ere ọkpa na o te bo, pita ọ tẹ viẹ gaga.	Ipata nọ o lele Ijemisi evaọ ugbo. Nọ a nọe ọ te vro isiasa nọ ọ riẹ riẹ hẹ, wha nọ ere ọkpa na o te bo, pita ọ tẹ viẹ gaga.	0
Ono ọ rẹ rehọ ẹro te orua?	ọsẹ na ọ rẹ rehọ ẹro te evaọ ewhurẹ, ẹwhọkuo, ọ rẹ ruẹ nọ orua na o zọ, ọ rẹ ruẹ uye, re o kẹ ae eware nọ a guọlọ je fiobọ họ kẹ ae avọ uyoyou.	Erakọ na ọ rẹ rehọ ẹro te evaọ ewhurẹ, ẹwhọkuo, ọ rẹ ruẹ nọ orua na o zọ, ọ rẹ ruẹ uye, re o kẹ ae eware nọ a guọlọ je fiobọ họ kẹ ae avọ uyoyou.	0
Jẹse a jẹ rhu igho họ ọmọtẹ evaọ oke orọo?	A re rhu igho họ ọmọtẹ evaọ ighẹ ọmọtẹ na, evaọ iraro ekpako gbe imoni riẹ, orua na ọ rẹ re hae avọ ighale gbe elẹ.	A re rhu igho họ ọmọtẹ evaọ ighẹ ọmọtẹ na, evaọ iraro ekpako gbe imoni riẹ, orua na ọ rẹ re hae ababọ ighale gbe elẹ.	0
ẹvẹ emaha a rẹ rọ dhẹ ọsẹ gbe oni rae?	emaha a rẹ dhẹ ọsẹ gbe oni rae nọ a tẹ kẹ ezọ kẹ ae, je yo ẹme rae, je dhesẹ adhẹ ẹsikpobi, a rẹ rehọ obọ ufihọ gbe eme adhẹ rọ rehọ oghọghọ ze uwou.	Ewe a rẹ dhẹ ọsẹ gbe oni rae nọ a tẹ kẹ ezọ kẹ ae, je yo ẹme rae, je dhesẹ adhẹ ẹsikpobi, a rẹ rehọ obọ ufihọ gbe eme adhẹ rọ rehọ oghọghọ ze uwou.	0
Didi iruo oni ọ rẹ mae ru evaọ orua?	 Oni na ọ rẹ yọrọ emọ riẹ kẹdẹkẹdẹ evaọ ẹbẹ o there, ẹruorote, gbe elẹ, o re fi obọ họ kẹ ọzae riẹ avọ uyoyou gbe areghẹ.	Ọrigbo na ọ rẹ yọrọ emọ riẹ kẹdẹkẹdẹ evaọ ẹbẹ o there, ẹruorote, gbe elẹ, o re fi obọ họ kẹ ọzae riẹ avọ uyoyou gbe areghẹ.	0
Ru ẹme na gba unu: orọo yọ ọvọ nọ ọ rọ udeviẹ ___.	orọo yọ ọvọ nọ ọ rọ udeviẹ ọzae avọ aye, nọ Ọghẹnẹ ọ ghale, evaọ iraro orua gbe igbenyusu.	orọo yọ ọvọ nọ ọ rọ udeviẹ ọzae avọ aye, nọ Ọghẹnẹ ọ ghale, evaọ iraro orua gbe igbenyusu.	0
uziẹme abinọ ọrue: ọzae ọ du kẹ ezọ kẹ ẹme aye riẹ hẹ.	ọrue: ufou nọ ọzae ọ rẹ gaviezọ kẹ ẹme aye riẹ, jẹ rehọ adhọ kẹ iroro avọ areghe riẹ.	uziẹme: ufou nọ ọzae ọ rẹ gaviezọ kẹ ẹme aye riẹ hẹ, ọ rẹ rehọ adhọ kẹ iroro avọ areghe riẹ gbehe.	0
wariẹ epanọ odiri u ro fo uzuazọ orua.	Odiri u fo uzuazọ orua kemena ahwo a wo iruemu sasa, nọ whọ tẹbe hẹrẹ dhedhẹ, be rehọ vrẹ iruthọ, ohwo o je bi fiobọhọ kẹ ohwo, o rẹ wha udhedhẹ ze.	Ohọrọ u fo uzuazọ orua kemena ahwo a wo iruemu sasa, nọ whọ tẹbe hẹrẹ dhedhẹ, be rehọ vrẹ iruthọ, ohwo o je bi fiobọhọ kẹ ohwo, o rẹ wha udhedhẹ ze.	0
Eme ọ rẹ via evaọ uwou nọ emaha a tẹ se iruo rae ba eruo?	nọ emaha a tẹ se iruo rae ba eruo, uwou na o vẹ jọ gbegbe, uye o vẹ bẹ esẹ gbe ini, udhedhẹ u ve nọ orua no.	nọ emaha a te ru iruo rae, uwou na o vẹ jọ gbegbe, uye o vẹ bẹ esẹ gbe ini, udhedhẹ u ve nọ orua no.	0
Ono ọ rẹ ghale ọzae avọ aye evaọ eha orọo ishọshe?	Ukọ-Ọghẹnẹ na ọ rẹ rehọ olẹ rọ ghale ọzae avọ aye na, ọ rẹ rehọ ẹme Ọghẹnẹ rọ wae udu ama, jẹ vuẹ ae nọ arọwo bẹdẹ.	erara na ọ rẹ rehọ olẹ rọ ghale ọzae avọ aye na, ọ rẹ rehọ ẹme Ọghẹnẹ rọ wae udu ama, jẹ vuẹ ae nọ arọwo bẹdẹ.	0
Oke nọ ẹdhighoro o kie ze, eme a re hiẹ ru?	Emoha a jẹ ẹ re hiẹ weze bru igbẹnyusu rae nọ e erọ iwhrẹ nọ ekẹle.. a jẹ hẹ dhẹ ẹrera evaọ idhere ithikothi, ẹdhighoro na omọvọ ọ jẹ hẹ wọ ẹsiọvo, ọ tẹ jọ edhere o kuẹku nọ a je he ro kpohọ erẹ.	Emoha a jẹ ẹ re hiẹ weze bru igbẹnyusu rae nọ e erọ edhokpa nọ ekẹle.. a jẹ hẹ dhẹ ẹrera evaọ idhere ithikothi, ẹdhighoro na omọvọ ọ jẹ hẹ wọ ẹsiọvo, ọ tẹ jọ edhere o kuẹku nọ a je he ro kpohọ erẹ.	0
ẹvẹ okọotọ u ro nwene opanọ ahwo a je he ro kpohọ erẹ?	Fiki Okọotọ ehrua a rẹ sae tehe usu họ kpohọ erẹ, evaọ ugbuthabọ, a rẹ nya vẹrẹ vrẹ ọ erao evaọ edhere, edhokọ na a rẹ sae dhẹ ahwo avọ ehwa, okọotọ o lẹliẹ orhe ọnya lọhọ, e tẹ jọ oka ọ ẹnyaharo.	Fiki enyenya ehrua a rẹ sae tehe usu họ kpohọ erẹ, evaọ ugbuthabọ, a rẹ nya vẹrẹ vrẹ ọ erao evaọ edhere, edhokọ na a rẹ sae dhẹ ahwo avọ ehwa, enyenya o lẹliẹ orhe ọnya lọhọ, e tẹ jọ oka ọ ẹnyaharo.	0
Eme họ iruo itreni evaọ oke nọ o kie je?	Itreni ọ jẹ hẹ wọ ehwa kpohọ igbuthabọ, idhere rae a nya ehwo avọ ehwo, ikporẹ buobu a thehe usu họ, itreni na ọ jẹ hẹ nya vẹrẹ evaọ idhere utehru, ọ tẹ jọ omamọ ekwakwa ekiọtho.	Itreni ọ jẹ hẹ wọ ehwa kpohọ igbuthabọ, idhere rae a nya ehwo avọ ehwo, ikporẹ buobu a thehe usu họ, itreni na ọ jẹ hẹ nya vẹrẹ evaọ idhere irhe, ọ tẹ jọ omamọ ekwakwa ekiọtho.	0
ẹvẹ ekọeru a ro nwene ehrẹ ọnya okeọnana?	Ekọeru e rẹ wọ ahwo buobu kpohọ erẹwho sasa evaọ umuthoke, e rẹ ra kperhu vi idadeghe avọ igbehru, awo nọ a bi kpohọ erẹ na a rẹ re emu, jẹ jaja oma nọ a be ra na, ekọeru I re ku erẹwo ithethabọ kugbe kọ ekiọthọ avọ ugheuriwo, ae a mae vẹrẹ avaọ ehrẹ ọnya.	Ekọame e rẹ wọ ahwo buobu kpohọ erẹwho sasa evaọ umuthoke, e rẹ ra kperhu vi idadeghe avọ igbehru, awo nọ a bi kpohọ erẹ na a rẹ re emu, jẹ jaja oma nọ a be ra na, ekọeru I re ku erẹwo ithethabọ kugbe kọ ekiọthọ avọ ugheuriwo, ae a mae vẹrẹ avaọ ehrẹ ọnya.	0
Eme ọ rẹ via nọ ọmaha ọ tẹ be mọ okpomahọ	Nọ ọmaha o te wo okpomahọ, oma na ọ vẹhẹ roro, ibiaro riẹ I ve yolo, ọmọ ọ rẹ rọ re emu hu, nọ a tẹ rehọ ero tei o je serihọ, okpomahọ ọ rẹ sae kpotọ, omoga u ve zihieze.	Nọ ọmaha o gbe wo okpomahọ họ, oma na ọ vẹhẹ roro, ibiaro riẹ I ve yolo, ọmọ ọ rẹ rọ re emu hu, nọ a tẹ rehọ ero tei o je serihọ, okpomahọ ọ rẹ sae kpotọ, omoga u ve zihieze.	0
Eme ọ rẹ via nọ owho o te wo ọwọre?	Nọ ohwo o te wo ọwọre, udu riẹ u re nyuhu, edhuvo riẹ ovẹ ya, ohwo na ọ sae wẹzẹ hẹ, evaọ aso, rekọ a tẹ kẹe ibiimu, ọwọre ma ọ sae kpo, yọ ẹwẹ okuo ọvẹ lọhọ.	Nọ ohwo o te wo uzou ulogbo, udu riẹ u re nyuhu, edhuvo riẹ ovẹ ya, ohwo na ọ sae wẹzẹ hẹ, evaọ aso, rekọ a tẹ kẹe ibiimu, ọwọre ma ọ sae kpo, yọ ẹwẹ okuo ọvẹ lọhọ.	0
Eme ọ rẹ via nọ eba I te kru ohwo?	Nọ eba I te kru ohwo, oma riẹ u rehe nyuhuẹ, uzou riẹ o rẹ jọ gbẹgbẹdẹ, ohwo na ọ vẹ họ royẹ gaga, nọ ọ tẹ rehọ usiwo no, oma na ovẹ jọ dhedhẹ, ehri o ve zihieze.	Nọ eba I te kru ohwo, oma riẹ u rehe nyuhuẹ, uzou riẹ o rẹ jọ gbẹgbẹdẹ, ohwo na ọ vẹ họ royẹ gaga, nọ ọ tẹ rehọ usiwo no, oma na ovẹ jọ dhedhẹ, ehri o re zihieze he.	0
Eme ọ rẹ via nọ ugbegbe ohwo o te wiri?	Nọ ugbegbe ohwo o te wiri, oma na o rẹ nuẹ avọ edada, abọ gbe awọ riẹ I re fuẹ, ẹnyonya ọ vẹ jọ gaga, rekọ nọ a tẹ rehọ ẹro tei ziezi, ugheghe na u re kpo, ọ vẹ wariẹ mu onya họ.	Nọ ubiakọ ohwo o te wiri, oma na o rẹ nuẹ avọ edada, abọ gbe awọ riẹ I re fuẹ, ẹnyonya ọ vẹ jọ gaga, rekọ nọ a tẹ rehọ ẹro tei ziezi, ugheghe na u re kpo, ọ vẹ wariẹ mu onya họ.	0
Eme ọ rẹ via nọ uzou o tẹ be tehe ohwo?	nọ uzou o tẹ be tehe ohwo, ibiaro riẹ I re yolo, iroro I ve dhei ọvẹ, iruo iruo I ve leye, rekọ nọ o te serihọ, edada na I re kpotọ, uzou na o vẹ wariẹ kiehọ.	nọ uzou o tẹ be tehe ohwo, ibiaro riẹ I re yolo, iroro I ve dhei ọvẹ, iruo iruo I ve leye, rekọ ababọ eriosehọ, edada na I re kpotọ, uzou na o vẹ wariẹ kiehọ.	0
Eme ọ rẹ via nọ eva e tẹ be da ohwo?	nọ eva e tẹ be da ohwo, ọ vẹ hẹ se emu, ohwo na o ve kiezẹ otọ yoloyolo, rekọ nọ e tẹ kẹe ibiimu, edada na I re kpotọ,emu ọ vẹ wariẹ muhọ ẹwere.	nọ eva e gbe be da ohwo ho, ọ vẹ hẹ se emu, ohwo na o ve kiezẹ otọ yoloyolo, rekọ nọ e tẹ kẹe ibiimu, edada na I re kpotọ,emu ọ vẹ wariẹ muhọ ẹwere.	0
Eme ọ rẹ via nọ ohwo o te tuaro?	nọ ohwo o te tuaro, ẹro na ọ rẹ sae ruẹ edhere he, abọ riẹ ọ vẹ hẹ guọlọ obọufihọ, ọ vẹ hẹ nya ẹrera, rekọ nọ a te su ei, ohwo na ọ rẹ sae nya ọkọkọ yọ udu riẹ uve te otọ.	nọ ohwo o te diezọ, ẹro na ọ rẹ sae ruẹ edhere he, abọ riẹ ọ vẹ hẹ guọlọ obọufihọ, ọ vẹ hẹ nya ẹrera, rekọ nọ a te su ei, ohwo na ọ rẹ sae nya ọkọkọ yọ udu riẹ uve te otọ.	0
Eme ọ rẹ via nọ ohwo o te diezọ?	nọ ohwo o te diezọ, ezọ na e sae yo ẹme he, unu riẹ ọ rẹ rova nọ ọ tẹ guọlọ kẹ uyo, yọ ohwo na o re wọhọ nọ ọ heọvo usu, rekọ nọ a tẹ nuhu obọ kẹi, ohwo na ọ rẹ sae kẹ ozuẹ je kuoma kugbe ahwo ọfa.	nọ ohwo o te diezọ, ezọ na e sae yo ẹme he, unu riẹ ọ rẹ rova nọ ọ tẹ guọlọ kẹ uyo, yọ ohwo na o re wọhọ nọ ọ heọvo usu, rekọ nọ a tẹ nuhu obọ kẹi, ohwo na ọ rẹ sae kẹ ozuẹ je sioma no ahwo ọfa.	0
